seed_eval,test_idx,beta_star,gamma_star,final_M_DAD,AUC_M_DAD,final_M_MPNN,AUC_M_MPNN
0,0,0.46143583418584383,0.07300138862488115,0.07649785437883827,0.38895340592958616,0.08634329538982988,0.2535878274298985
0,1,0.293252878939352,0.21834814485061232,0.6696043109109365,1.737357738863727,0.648769903968772,1.7825379710211673
0,2,0.5541348817523003,0.24052887984430837,0.3236938304236394,0.9000684734563389,0.33847551694579237,1.0167147500173648
0,3,0.5420233012961632,0.1814507016280985,0.24048959390323343,0.6351663128113794,0.28624618272392066,0.8664646762528149
0,4,0.5532488765616571,0.0862015020547406,0.05801389722580941,0.3085121789840489,0.09274679520109441,0.4329411794369964
0,5,0.4406883719601838,0.11204540679312003,0.14894251241189083,0.5848290553211057,0.1549060882085479,0.5526165385835018
0,6,0.2854172764549851,0.0766743784212286,0.23285689304961843,0.8103422259564952,0.1955307316747924,0.6682869798152685
0,7,0.4238563242769064,0.22306911623690134,0.2879670826986218,0.9683984391408873,0.28605918170787525,1.0428442937726752
0,8,0.5210522364279753,0.157723513063735,0.18749667539510262,0.5904278561993583,0.23717720280706078,0.7460352305481637
0,9,0.2813977739604803,0.15750236474731133,0.5042159518248398,1.4198175894796583,0.47157051923897175,1.3728357169944174
0,10,0.5653294821768345,0.1817371806302342,0.2234148547282504,0.6269471583923154,0.22341476332685029,0.7652837573138012
0,11,0.5019958856462797,0.07833398179372547,0.04786117016501035,0.2773596299963862,0.07649692206493042,0.3457845083578476
0,12,0.526428024962857,0.10487029867073878,0.11239413766239903,0.42819715129816105,0.112921198939399,0.47215306967368803
0,13,0.37754223722899627,0.1617499813339964,0.2624882363168648,0.8518155132809571,0.30365306405427983,0.8488405402193703
0,14,0.4276256853974752,0.24681673464502163,0.3800134743319623,1.0068201881352632,0.4941547385946536,1.395952022420542
0,15,0.33974254015701916,0.10473625187579083,0.1874905079523127,0.736179371742903,0.25265325028041885,0.7087542278485275
0,16,0.47305842770135303,0.2284260916040114,0.3895282773602827,1.0359777633070584,0.3875321476881747,1.065626262728642
0,17,0.38581927761255985,0.058073363562970104,0.14192706854823423,0.5241402146633596,0.05930748349745163,0.29482852842023527
0,18,0.3167243198807031,0.1166472950129637,0.17555683225547358,0.7774550941456665,0.285637142263508,0.8698704365432408
0,19,0.31599627779086925,0.24948769777319593,0.7017009937201818,1.7787310240901943,0.7019561523974237,1.953087845174445
